Village_ID,Reference Number,Audited?,Audit Status,State,District,Block / Taluk,Gram Panchayat,Village Name,Date of Survey,Estimated Trees,Observed Trees,Harvestable %,Avg Age of Trees,Fruiting %,Plantation Type,Latitude,Longitude,GPS Entry Used,Max Capacity (kg),Sourced So Far (kg),Remaining Capacity (kg)
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Balareddipalli,fmrok80a,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Balareddipalli,2024-11-08,950,300,90,Between 8 to 40 years,60, Field Bund,13.7817656,77.8813612,Entry 4,2850.0,0.0,2850.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Brahmanarahalli,fm1f0tar,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Brahmanarahalli,2024-11-12,250,100,90,Between 8 to 40 years,60, Field Bund,13.8496681,77.8706166,Entry 4,750.0,0.0,750.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Byrennagaripalli,fmmxpmnm,Yes,Audit Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Byrennagaripalli,2024-11-10,950,250,90,Between 8 to 40 years,70, Field Bund,13.7743788,77.9246789,Entry 4,2850.0,0.0,2850.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Chigaregondalapalli,fmlt6yml,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Chigaregondalapalli,2024-11-08,200,50,90,Between 8 to 40 years,70, Field Bund,13.7778431,77.8189175,Entry 4,600.0,0.0,600.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Chikkathammanahalli,fm6mooo,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Chikkathammanahalli,2024-10-25,200,50,80,Below 8 years,60, Field Bund,13.7537571,77.8445882,Entry 4,600.0,0.0,600.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Dasiahgaripalli,fm3gu34v,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Dasiahgaripalli,2024-10-25,200,50,80,Below 8 years,60, Field Bund,13.7675674,77.8197682,Entry 4,600.0,0.0,600.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Devaragudipalli,fmai6x8m,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Devaragudipalli,2024-12-18,1000,300,90,Between 8 to 40 years,60, Field Bund,13.8900109,77.8516058,Entry 4,3000.0,0.0,3000.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Dornalpalli,fmld7x3f,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Dornalpalli,2024-11-12,200,50,90,Between 8 to 40 years,60, Field Bund,13.8495426,77.8784319,Entry 4,600.0,0.0,600.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Gondipalli,fmmmhefu,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Gondipalli,2024-11-10,500,100,90,Between 8 to 40 years,60, Field Bund,13.747497,77.9392909,Entry 4,1500.0,0.0,1500.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Guttameedapalli,fma6n22a,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Guttameedapalli,2024-11-10,800,200,80,Between 8 to 40 years,60, Field Bund,13.7530987,77.8827542,Entry 4,2400.0,0.0,2400.0
